audit_id,person_id,helmet_state,vest_state,overall_state,annotator_confidence,visibility_issue,notes
W0055,P1,,,,,,
W0055,P2,,,,,,
W0055,P3,,,,,,
W0056,P1,,,,,,
W0056,P2,,,,,,
W0056,P3,,,,,,
W0056,P4,,,,,,
W0056,P5,,,,,,
W0057,P1,,,,,,
W0058,P1,,,,,,
W0059,P1,,,,,,
W0060,P1,,,,,,
W0061,P1,,,,,,
W0061,P2,,,,,,
W0061,P3,,,,,,
W0061,P4,,,,,,
W0061,P5,,,,,,
W0061,P6,,,,,,
W0062,P1,,,,,,
W0062,P2,,,,,,
W0062,P3,,,,,,
W0063,P1,,,,,,
W0063,P2,,,,,,
W0063,P3,,,,,,
W0063,P4,,,,,,
W0063,P5,,,,,,
W0064,P1,,,,,,
W0064,P2,,,,,,
W0065,P1,,,,,,
W0065,P2,,,,,,
W0066,P1,,,,,,
W0067,P1,,,,,,
W0068,P1,,,,,,
W0068,P2,,,,,,
W0068,P3,,,,,,
W0069,P1,,,,,,
W0070,P1,,,,,,
W0071,P1,,,,,,
W0072,P1,,,,,,
W0072,P2,,,,,,
W0072,P3,,,,,,
W0072,P4,,,,,,
W0073,P1,,,,,,
W0073,P2,,,,,,
W0073,P3,,,,,,
W0073,P4,,,,,,
W0073,P5,,,,,,
W0073,P6,,,,,,
W0074,P1,,,,,,
W0074,P2,,,,,,
W0074,P3,,,,,,
W0074,P4,,,,,,
W0074,P5,,,,,,
W0075,P1,,,,,,
W0075,P2,,,,,,
W0075,P3,,,,,,
W0076,P1,,,,,,
W0076,P2,,,,,,
W0076,P3,,,,,,
W0076,P4,,,,,,
W0076,P5,,,,,,
W0076,P6,,,,,,
W0076,P7,,,,,,
W0076,P8,,,,,,
W0077,P1,,,,,,
W0077,P2,,,,,,
W0078,P1,,,,,,
W0078,P2,,,,,,
W0078,P3,,,,,,
W0079,P1,,,,,,
W0079,P2,,,,,,
W0079,P3,,,,,,
W0079,P4,,,,,,
W0080,P1,,,,,,
W0080,P2,,,,,,
W0080,P3,,,,,,
W0080,P4,,,,,,
W0081,P1,,,,,,
W0081,P2,,,,,,
W0081,P3,,,,,,
W0081,P4,,,,,,
W0082,P1,,,,,,
W0083,P1,,,,,,
W0083,P2,,,,,,
W0084,P1,,,,,,
W0085,P1,,,,,,
W0085,P2,,,,,,
W0085,P3,,,,,,
W0085,P4,,,,,,
W0085,P5,,,,,,
W0085,P6,,,,,,
W0086,P1,,,,,,
W0086,P2,,,,,,
W0086,P3,,,,,,
W0086,P4,,,,,,
W0086,P5,,,,,,
W0087,P1,,,,,,
W0088,P1,,,,,,
W0088,P2,,,,,,
W0089,P1,,,,,,
W0089,P2,,,,,,
W0089,P3,,,,,,
W0089,P4,,,,,,
W0089,P5,,,,,,
W0089,P6,,,,,,
W0089,P7,,,,,,
W0089,P8,,,,,,
W0089,P9,,,,,,
W0089,P10,,,,,,
W0090,P1,,,,,,
W0090,P2,,,,,,
W0091,P1,,,,,,
W0091,P2,,,,,,
W0091,P3,,,,,,
W0092,P1,,,,,,
W0092,P2,,,,,,
W0092,P3,,,,,,
W0093,P1,,,,,,
W0093,P2,,,,,,
W0094,P1,,,,,,
W0094,P2,,,,,,
W0095,P1,,,,,,
W0095,P2,,,,,,
W0095,P3,,,,,,
W0095,P4,,,,,,
W0095,P5,,,,,,
W0096,P1,,,,,,
W0096,P2,,,,,,
W0096,P3,,,,,,
W0096,P4,,,,,,
W0096,P5,,,,,,
W0097,P1,,,,,,
W0097,P2,,,,,,
W0097,P3,,,,,,
W0097,P4,,,,,,
W0097,P5,,,,,,
W0098,P1,,,,,,
W0099,P1,,,,,,
W0099,P2,,,,,,
W0099,P3,,,,,,
W0099,P4,,,,,,
W0099,P5,,,,,,
W0100,P1,,,,,,
W0101,P1,,,,,,
W0102,P1,,,,,,
W0103,P1,,,,,,
W0103,P2,,,,,,
W0103,P3,,,,,,
W0103,P4,,,,,,
W0103,P5,,,,,,
W0104,P1,,,,,,
W0104,P2,,,,,,
W0104,P3,,,,,,
W0104,P4,,,,,,
W0104,P5,,,,,,
W0104,P6,,,,,,
W0105,P1,,,,,,
W0105,P2,,,,,,
W0106,P1,,,,,,
W0106,P2,,,,,,
W0106,P3,,,,,,
W0107,P1,,,,,,
W0108,P1,,,,,,
W0108,P2,,,,,,
W0109,P1,,,,,,
W0110,P1,,,,,,
W0110,P2,,,,,,
W0110,P3,,,,,,
W0110,P4,,,,,,
W0110,P5,,,,,,
W0110,P6,,,,,,
W0110,P7,,,,,,
W0110,P8,,,,,,
W0111,P1,,,,,,
W0111,P2,,,,,,
W0111,P3,,,,,,
W0111,P4,,,,,,
W0111,P5,,,,,,
W0111,P6,,,,,,
W0111,P7,,,,,,
W0111,P8,,,,,,
W0111,P9,,,,,,
W0111,P10,,,,,,
W0111,P11,,,,,,
W0112,P1,,,,,,
W0112,P2,,,,,,
W0113,P1,,,,,,
W0113,P2,,,,,,
W0113,P3,,,,,,
W0114,P1,,,,,,
W0115,P1,,,,,,
W0115,P2,,,,,,
W0115,P3,,,,,,
W0115,P4,,,,,,
W0116,P1,,,,,,
W0117,P1,,,,,,
W0117,P2,,,,,,
W0117,P3,,,,,,
W0118,P1,,,,,,
W0118,P2,,,,,,
W0119,P1,,,,,,
W0119,P2,,,,,,
W0119,P3,,,,,,
W0119,P4,,,,,,
W0119,P5,,,,,,
W0119,P6,,,,,,
W0119,P7,,,,,,
W0119,P8,,,,,,
W0120,P1,,,,,,
W0120,P2,,,,,,
W0120,P3,,,,,,
W0120,P4,,,,,,
W0121,P1,,,,,,
W0121,P2,,,,,,
W0122,P1,,,,,,
W0123,P1,,,,,,
W0124,P1,,,,,,
W0124,P2,,,,,,
W0124,P3,,,,,,
W0125,P1,,,,,,
W0125,P2,,,,,,
W0126,P1,,,,,,
W0126,P2,,,,,,
W0126,P3,,,,,,
W0127,P1,,,,,,
W0127,P2,,,,,,
W0128,P1,,,,,,
W0128,P2,,,,,,
W0128,P3,,,,,,
W0128,P4,,,,,,
W0128,P5,,,,,,
W0128,P6,,,,,,
W0128,P7,,,,,,
W0128,P8,,,,,,
W0129,P1,,,,,,
W0129,P2,,,,,,
W0130,P1,,,,,,
W0131,P1,,,,,,
W0132,P1,,,,,,
W0133,P1,,,,,,
W0134,P1,,,,,,
W0135,P1,,,,,,
W0135,P2,,,,,,
W0136,P1,,,,,,
W0136,P2,,,,,,
W0136,P3,,,,,,
W0137,P1,,,,,,
W0138,P1,,,,,,
W0138,P2,,,,,,
W0138,P3,,,,,,
W0139,P1,,,,,,
W0140,P1,,,,,,
W0140,P2,,,,,,
W0141,P1,,,,,,
W0141,P2,,,,,,
W0142,P1,,,,,,
W0142,P2,,,,,,
W0143,P1,,,,,,
W0143,P2,,,,,,
W0143,P3,,,,,,
W0143,P4,,,,,,
W0144,P1,,,,,,
W0145,P1,,,,,,
W0145,P2,,,,,,
W0145,P3,,,,,,
W0145,P4,,,,,,
W0146,P1,,,,,,
W0147,P1,,,,,,
W0147,P2,,,,,,
W0147,P3,,,,,,
W0147,P4,,,,,,
W0147,P5,,,,,,
W0147,P6,,,,,,
W0148,P1,,,,,,
W0148,P2,,,,,,
W0148,P3,,,,,,
W0148,P4,,,,,,
W0148,P5,,,,,,
W0148,P6,,,,,,
W0149,P1,,,,,,
W0149,P2,,,,,,
W0150,P1,,,,,,
W0150,P2,,,,,,
W0151,P1,,,,,,
W0152,P1,,,,,,
W0153,P1,,,,,,
W0154,P1,,,,,,
W0154,P2,,,,,,
W0154,P3,,,,,,
W0155,P1,,,,,,
W0155,P2,,,,,,
W0155,P3,,,,,,
W0155,P4,,,,,,
W0155,P5,,,,,,
W0155,P6,,,,,,
W0156,P1,,,,,,
W0156,P2,,,,,,
W0156,P3,,,,,,
W0157,P1,,,,,,
W0157,P2,,,,,,
W0157,P3,,,,,,
W0157,P4,,,,,,
W0157,P5,,,,,,
W0157,P6,,,,,,
W0157,P7,,,,,,
W0157,P8,,,,,,
W0157,P9,,,,,,
W0158,P1,,,,,,
W0158,P2,,,,,,
W0158,P3,,,,,,
W0158,P4,,,,,,
W0158,P5,,,,,,
W0158,P6,,,,,,
W0158,P7,,,,,,
W0158,P8,,,,,,
W0158,P9,,,,,,
W0158,P10,,,,,,
W0159,P1,,,,,,
W0159,P2,,,,,,
W0159,P3,,,,,,
W0160,P1,,,,,,
W0160,P2,,,,,,
W0160,P3,,,,,,
W0160,P4,,,,,,
W0161,P1,,,,,,
W0161,P2,,,,,,
W0161,P3,,,,,,
W0161,P4,,,,,,
W0161,P5,,,,,,
W0162,P1,,,,,,
W0162,P2,,,,,,
W0162,P3,,,,,,
W0163,P1,,,,,,
W0163,P2,,,,,,
W0164,P1,,,,,,
W0164,P2,,,,,,
W0164,P3,,,,,,
W0164,P4,,,,,,
W0165,P1,,,,,,
W0165,P2,,,,,,
W0165,P3,,,,,,
W0165,P4,,,,,,
W0166,P1,,,,,,
W0166,P2,,,,,,
W0166,P3,,,,,,
W0167,P1,,,,,,
W0167,P2,,,,,,
W0168,P1,,,,,,
W0169,P1,,,,,,
W0169,P2,,,,,,
W0170,P1,,,,,,
W0170,P2,,,,,,
W0171,P1,,,,,,
W0171,P2,,,,,,
W0171,P3,,,,,,
W0172,P1,,,,,,
W0172,P2,,,,,,
W0172,P3,,,,,,
W0172,P4,,,,,,
W0172,P5,,,,,,
W0172,P6,,,,,,
W0172,P7,,,,,,
W0172,P8,,,,,,
W0172,P9,,,,,,
W0173,P1,,,,,,
W0173,P2,,,,,,
W0173,P3,,,,,,
W0173,P4,,,,,,
W0173,P5,,,,,,
W0173,P6,,,,,,
W0173,P7,,,,,,
W0174,P1,,,,,,
W0174,P2,,,,,,
W0174,P3,,,,,,
W0174,P4,,,,,,
W0175,P1,,,,,,
W0175,P2,,,,,,
W0175,P3,,,,,,
W0175,P4,,,,,,
W0176,P1,,,,,,
W0176,P2,,,,,,
W0176,P3,,,,,,
W0176,P4,,,,,,
W0176,P5,,,,,,
W0177,P1,,,,,,
W0178,P1,,,,,,
W0179,P1,,,,,,
W0180,P1,,,,,,
W0180,P2,,,,,,
W0180,P3,,,,,,
W0181,P1,,,,,,
W0181,P2,,,,,,
W0181,P3,,,,,,
W0182,P1,,,,,,
W0182,P2,,,,,,
W0182,P3,,,,,,
W0183,P1,,,,,,
W0183,P2,,,,,,
W0184,P1,,,,,,
W0185,P1,,,,,,
W0186,P1,,,,,,
W0187,P1,,,,,,
W0188,P1,,,,,,
W0189,P1,,,,,,
W0189,P2,,,,,,
W0190,P1,,,,,,
W0190,P2,,,,,,
W0191,P1,,,,,,
W0191,P2,,,,,,
W0192,P1,,,,,,
W0192,P2,,,,,,
W0193,P1,,,,,,
W0194,P1,,,,,,
W0195,P1,,,,,,
W0195,P2,,,,,,
W0196,P1,,,,,,
W0196,P2,,,,,,
W0196,P3,,,,,,
W0197,P1,,,,,,
W0197,P2,,,,,,
W0197,P3,,,,,,
W0198,P1,,,,,,
W0198,P2,,,,,,
W0198,P3,,,,,,
W0199,P1,,,,,,
W0199,P2,,,,,,
W0199,P3,,,,,,
W0200,P1,,,,,,
W0200,P2,,,,,,
W0200,P3,,,,,,
W0201,P1,,,,,,
W0201,P2,,,,,,
W0201,P3,,,,,,
W0201,P4,,,,,,
W0201,P5,,,,,,
W0201,P6,,,,,,
W0202,P1,,,,,,
W0202,P2,,,,,,
W0203,P1,,,,,,
W0203,P2,,,,,,
W0203,P3,,,,,,
W0203,P4,,,,,,
W0204,P1,,,,,,
W0204,P2,,,,,,
W0205,P1,,,,,,
W0205,P2,,,,,,
W0205,P3,,,,,,
W0206,P1,,,,,,
W0207,P1,,,,,,
W0207,P2,,,,,,
W0207,P3,,,,,,
W0207,P4,,,,,,
W0207,P5,,,,,,
W0207,P6,,,,,,
W0208,P1,,,,,,
W0208,P2,,,,,,
W0208,P3,,,,,,
W0208,P4,,,,,,
W0208,P5,,,,,,
W0208,P6,,,,,,
W0209,P1,,,,,,
W0209,P2,,,,,,
W0210,P1,,,,,,
W0210,P2,,,,,,
W0210,P3,,,,,,
W0211,P1,,,,,,
W0212,P1,,,,,,
W0212,P2,,,,,,
W0212,P3,,,,,,
W0213,P1,,,,,,
W0213,P2,,,,,,
W0213,P3,,,,,,
W0213,P4,,,,,,
W0214,P1,,,,,,
W0214,P2,,,,,,
W0214,P3,,,,,,
W0215,P1,,,,,,
W0215,P2,,,,,,
W0215,P3,,,,,,
W0215,P4,,,,,,
W0216,P1,,,,,,
W0217,P1,,,,,,
W0218,P1,,,,,,
W0218,P2,,,,,,
W0218,P3,,,,,,
W0218,P4,,,,,,
W0218,P5,,,,,,
W0218,P6,,,,,,
W0218,P7,,,,,,
W0219,P1,,,,,,
W0219,P2,,,,,,
W0219,P3,,,,,,
W0219,P4,,,,,,
W0219,P5,,,,,,
W0219,P6,,,,,,
W0219,P7,,,,,,
W0219,P8,,,,,,
W0219,P9,,,,,,
W0219,P10,,,,,,
W0220,P1,,,,,,
W0220,P2,,,,,,
W0220,P3,,,,,,
W0220,P4,,,,,,
