audit_id,evidence_id,evidence_class_id,evidence_class,candidate_person_ids,assigned_person_id,assignment_confidence,occluded_or_ambiguous,notes
R025,E8,4,V+,P4,,,,
R026,E1,0,H+,P4,,,,
R026,E2,4,V+,P2,,,,
R026,E3,4,V+,P4,,,,
R027,E1,0,H+,P1,,,,
R027,E2,1,H-,P2,,,,
R027,E3,4,V+,P1,,,,
R027,E4,4,V+,P2,,,,
R028,E1,0,H+,P3,,,,
R028,E2,0,H+,P1|P2,,,,
R028,E3,2,V-,P2,,,,
R028,E4,2,V-,P3,,,,
R028,E5,2,V-,P1|P2,,,,
R029,E1,1,H-,P1,,,,
R029,E2,2,V-,P1,,,,
R030,E1,0,H+,P6,,,,
R030,E2,0,H+,P3,,,,
R030,E3,0,H+,P5,,,,
R030,E4,0,H+,P1|P2,,,,
R030,E5,0,H+,P1|P2,,,,
R030,E6,2,V-,P6,,,,
R030,E7,2,V-,P2|P3,,,,
R030,E8,2,V-,P1|P2,,,,
R030,E9,2,V-,P5,,,,
R030,E10,2,V-,P1|P2|P3,,,,
R030,E11,4,V+,P4,,,,
R031,E1,0,H+,P3,,,,
R031,E2,0,H+,P4,,,,
R031,E3,0,H+,P2,,,,
R031,E4,0,H+,P1,,,,
R031,E5,4,V+,P3,,,,
R031,E6,4,V+,P4,,,,
R031,E7,4,V+,P2,,,,
R031,E8,4,V+,P1,,,,
R032,E1,0,H+,P3,,,,
R032,E2,4,V+,P3,,,,
R032,E3,4,V+,P1,,,,
R033,E1,0,H+,P4,,,,
R033,E2,0,H+,P2,,,,
R033,E3,0,H+,P1,,,,
R033,E4,0,H+,P6,,,,
R033,E5,0,H+,P3,,,,
R033,E6,0,H+,P7,,,,
R033,E7,2,V-,P6,,,,
R033,E8,4,V+,P5,,,,
R033,E9,4,V+,P4,,,,
R033,E10,4,V+,P2,,,,
R033,E11,4,V+,P1,,,,
R033,E12,4,V+,P3,,,,
R033,E13,4,V+,P7,,,,
R034,E1,0,H+,P3,,,,
R034,E2,0,H+,P1,,,,
R034,E3,4,V+,P3,,,,
R034,E4,4,V+,P1|P2,,,,
R034,E5,4,V+,P1|P2,,,,
R035,E1,0,H+,P2,,,,
R035,E2,0,H+,P1,,,,
R035,E3,4,V+,P2,,,,
R035,E4,4,V+,P1,,,,
R036,E1,0,H+,P1,,,,
R036,E2,4,V+,P1,,,,
R037,E1,0,H+,P1,,,,
R037,E2,0,H+,P2,,,,
R037,E3,4,V+,P1,,,,
R037,E4,4,V+,P2,,,,
R038,E1,0,H+,P1,,,,
R038,E2,4,V+,P1,,,,
R039,E1,0,H+,P3,,,,
R039,E2,0,H+,P1,,,,
R039,E3,2,V-,P2,,,,
R039,E4,4,V+,P3,,,,
R039,E5,4,V+,P1,,,,
R040,E1,0,H+,P1,,,,
R040,E2,2,V-,P1,,,,
R041,E1,0,H+,P1,,,,
R041,E2,0,H+,P4,,,,
R041,E3,0,H+,P3,,,,
R041,E4,2,V-,P1,,,,
R041,E5,4,V+,P3,,,,
R042,E1,4,V+,P2,,,,
R042,E2,4,V+,P4,,,,
R043,E1,0,H+,P1,,,,
R043,E2,2,V-,P1,,,,
R044,E1,0,H+,P3,,,,
R044,E2,0,H+,P5,,,,
R044,E3,0,H+,P6,,,,
R044,E4,1,H-,P5,,,,
R044,E5,4,V+,P2,,,,
R044,E6,4,V+,P3,,,,
R044,E7,4,V+,P4,,,,
R044,E8,4,V+,P5,,,,
R044,E9,4,V+,P1,,,,
R044,E10,4,V+,P6,,,,
R045,E1,0,H+,P2,,,,
R045,E2,0,H+,P1,,,,
R045,E3,2,V-,P1,,,,
R045,E4,4,V+,P2,,,,
R046,E1,0,H+,P2,,,,
R046,E2,1,H-,P4,,,,
R046,E3,4,V+,P2,,,,
R046,E4,4,V+,P1,,,,
R046,E5,4,V+,P4,,,,
R047,E1,0,H+,P1,,,,
R047,E2,1,H-,P1,,,,
R047,E3,4,V+,P1,,,,
R048,E1,0,H+,P3,,,,
R048,E2,0,H+,P1,,,,
R048,E3,0,H+,P2,,,,
R048,E4,1,H-,P2,,,,
R048,E5,4,V+,P3,,,,
R048,E6,4,V+,P1,,,,
R048,E7,4,V+,P1|P2,,,,
R049,E1,0,H+,P2|P3,,,,
R049,E2,0,H+,P2|P3,,,,
R049,E3,0,H+,P1,,,,
R049,E4,0,H+,P4,,,,
R049,E5,0,H+,P4|P5,,,,
R049,E6,2,V-,P4,,,,
R049,E7,2,V-,P5,,,,
R049,E8,4,V+,P1,,,,
R050,E1,0,H+,P1,,,,
R050,E2,2,V-,P1,,,,
R051,E1,0,H+,P2,,,,
R051,E2,2,V-,P1,,,,
R051,E3,4,V+,P2,,,,
R052,E1,0,H+,P1,,,,
R052,E2,2,V-,P1,,,,
R053,E1,0,H+,P1,,,,
R053,E2,1,H-,P1,,,,
R053,E3,2,V-,P1,,,,
R053,E4,4,V+,P2,,,,
R053,E5,4,V+,P3,,,,
R054,E1,0,H+,P9,,,,
R054,E2,0,H+,P6,,,,
R054,E3,0,H+,P1,,,,
R054,E4,0,H+,P2,,,,
R054,E5,2,V-,P3|P4,,,,
R054,E6,4,V+,P5,,,,
R054,E7,4,V+,P9,,,,
R054,E8,4,V+,P3|P4,,,,
R054,E9,4,V+,P6,,,,
R054,E10,4,V+,P8|P9,,,,
R055,E1,1,H-,P1,,,,
R055,E2,2,V-,P1,,,,
R056,E1,1,H-,P2,,,,
R056,E2,1,H-,P1,,,,
R056,E3,2,V-,P2,,,,
R056,E4,4,V+,P1,,,,
R057,E1,1,H-,P2,,,,
R057,E2,1,H-,P1,,,,
R057,E3,2,V-,P2,,,,
R057,E4,4,V+,P1,,,,
R058,E1,0,H+,P1,,,,
R058,E2,2,V-,P1,,,,
R059,E1,0,H+,P3,,,,
R059,E2,0,H+,P2,,,,
R059,E3,0,H+,P1,,,,
R059,E4,2,V-,P3,,,,
R059,E5,2,V-,P2,,,,
R059,E6,2,V-,P1,,,,
R060,E1,0,H+,P3,,,,
R060,E2,0,H+,P1,,,,
R060,E3,0,H+,P2|P3,,,,
R060,E4,2,V-,P2|P3,,,,
R060,E5,2,V-,P1,,,,
R060,E6,2,V-,P2|P3,,,,
R061,E1,0,H+,P5|P6,,,,
R061,E2,0,H+,P5|P6,,,,
R061,E3,0,H+,P4,,,,
R061,E4,0,H+,P2|P3,,,,
R061,E5,0,H+,P2,,,,
R061,E6,0,H+,P1,,,,
R061,E7,2,V-,P5|P6,,,,
R061,E8,2,V-,P4,,,,
R061,E9,2,V-,P3,,,,
R061,E10,4,V+,P2|P3,,,,
R062,E1,0,H+,P1,,,,
R062,E2,2,V-,P1,,,,
R063,E1,1,H-,P1,,,,
R063,E2,1,H-,P2,,,,
R063,E3,4,V+,P3,,,,
R063,E4,4,V+,P2,,,,
R064,E1,1,H-,P2,,,,
R064,E2,1,H-,P3,,,,
R064,E3,2,V-,P1,,,,
R064,E4,4,V+,P2,,,,
R064,E5,4,V+,P3,,,,
R065,E1,0,H+,P1,,,,
R065,E2,0,H+,P2,,,,
R065,E3,2,V-,P1,,,,
R065,E4,4,V+,P2,,,,
R066,E1,0,H+,P1,,,,
R066,E2,0,H+,P3,,,,
R066,E3,0,H+,P4,,,,
R066,E4,1,H-,P2|P3,,,,
R066,E5,2,V-,P2|P3,,,,
R066,E6,2,V-,P4,,,,
R066,E7,2,V-,P2|P3,,,,
R066,E8,4,V+,P1,,,,
