audit_id,fold,source_group,image_name,original_image,rendered_image,person_count,evidence_count,sampling_stratum,selection_seed
R029,2,3_tunnel,3_tunnel (203).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\3_tunnel (203).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R029_3_tunnel (203).jpg,1,2,people_single__evidence_1-4,20260812
R030,2,3_tunnel,3_tunnel (205).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\3_tunnel (205).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R030_3_tunnel (205).jpg,6,11,people_4+__evidence_10+,20260812
R031,2,4_tunnel,4_tunnel (133).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\4_tunnel (133).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R031_4_tunnel (133).jpg,4,8,people_4+__evidence_5-9,20260812
R032,2,4_tunnel,4_tunnel (144).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\4_tunnel (144).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R032_4_tunnel (144).jpg,6,3,people_4+__evidence_1-4,20260812
R033,2,4_tunnel,4_tunnel (162).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\4_tunnel (162).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R033_4_tunnel (162).jpg,7,13,people_4+__evidence_10+,20260812
R034,2,4_tunnel,4_tunnel (24).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\4_tunnel (24).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R034_4_tunnel (24).jpg,3,5,people_2-3__evidence_5-9,20260812
R035,2,4_tunnel,4_tunnel (284).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\4_tunnel (284).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R035_4_tunnel (284).jpg,2,4,people_2-3__evidence_1-4,20260812
R036,2,4_tunnel,4_tunnel (35).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\4_tunnel (35).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R036_4_tunnel (35).jpg,1,2,people_single__evidence_1-4,20260812
R037,0,5_tunnel,5_tunnel  (118).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\5_tunnel  (118).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R037_5_tunnel  (118).jpg,2,4,people_2-3__evidence_1-4,20260812
R038,0,5_tunnel,5_tunnel  (154).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\5_tunnel  (154).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R038_5_tunnel  (154).jpg,1,2,people_single__evidence_1-4,20260812
R039,0,5_tunnel,5_tunnel  (21).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\5_tunnel  (21).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R039_5_tunnel  (21).jpg,3,5,people_2-3__evidence_5-9,20260812
R040,0,5_tunnel,5_tunnel  (37).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\5_tunnel  (37).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R040_5_tunnel  (37).jpg,1,2,people_single__evidence_1-4,20260812
R041,0,5_tunnel,5_tunnel  (98).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\5_tunnel  (98).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R041_5_tunnel  (98).jpg,4,5,people_4+__evidence_5-9,20260812
R042,0,5_tunnel,5_tunnel  (99).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\5_tunnel  (99).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R042_5_tunnel  (99).jpg,6,2,people_4+__evidence_1-4,20260812
R043,0,6_tunnel,6_tunnel  (147).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\6_tunnel  (147).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R043_6_tunnel  (147).jpg,1,2,people_single__evidence_1-4,20260812
R044,0,6_tunnel,6_tunnel  (164).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\6_tunnel  (164).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R044_6_tunnel  (164).jpg,6,10,people_4+__evidence_10+,20260812
R045,0,6_tunnel,6_tunnel  (24).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\6_tunnel  (24).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R045_6_tunnel  (24).jpg,2,4,people_2-3__evidence_1-4,20260812
R046,0,6_tunnel,6_tunnel  (57).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\6_tunnel  (57).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R046_6_tunnel  (57).jpg,4,5,people_4+__evidence_5-9,20260812
R047,0,6_tunnel,6_tunnel  (72).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\6_tunnel  (72).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R047_6_tunnel  (72).jpg,1,3,people_single__evidence_1-4,20260812
R048,0,6_tunnel,6_tunnel  (78).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\6_tunnel  (78).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R048_6_tunnel  (78).jpg,3,7,people_2-3__evidence_5-9,20260812
R049,2,7_tunnel,7_tunnel (123).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\7_tunnel (123).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R049_7_tunnel (123).jpg,5,8,people_4+__evidence_5-9,20260812
R050,2,7_tunnel,7_tunnel (34).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\7_tunnel (34).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R050_7_tunnel (34).jpg,1,2,people_single__evidence_1-4,20260812
R051,2,7_tunnel,7_tunnel (372).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\7_tunnel (372).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R051_7_tunnel (372).jpg,2,3,people_2-3__evidence_1-4,20260812
R052,2,7_tunnel,7_tunnel (413).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\7_tunnel (413).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R052_7_tunnel (413).jpg,1,2,people_single__evidence_1-4,20260812
R053,2,7_tunnel,7_tunnel (486).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\7_tunnel (486).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R053_7_tunnel (486).jpg,3,5,people_2-3__evidence_5-9,20260812
R054,2,7_tunnel,7_tunnel (597).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\7_tunnel (597).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R054_7_tunnel (597).jpg,9,10,people_4+__evidence_10+,20260812
R055,0,8_tunnel,8_tunnel.jpg (117).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\8_tunnel.jpg (117).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R055_8_tunnel.jpg (117).jpg,1,2,people_single__evidence_1-4,20260812
R056,0,8_tunnel,8_tunnel.jpg (30).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\8_tunnel.jpg (30).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R056_8_tunnel.jpg (30).jpg,2,4,people_2-3__evidence_1-4,20260812
R057,0,8_tunnel,8_tunnel.jpg (39).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\8_tunnel.jpg (39).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R057_8_tunnel.jpg (39).jpg,2,4,people_2-3__evidence_1-4,20260812
R058,0,8_tunnel,8_tunnel.jpg (62).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\8_tunnel.jpg (62).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R058_8_tunnel.jpg (62).jpg,1,2,people_single__evidence_1-4,20260812
R059,0,8_tunnel,8_tunnel.jpg (92).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\8_tunnel.jpg (92).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R059_8_tunnel.jpg (92).jpg,3,6,people_2-3__evidence_5-9,20260812
R060,0,8_tunnel,8_tunnel.jpg (94).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\8_tunnel.jpg (94).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R060_8_tunnel.jpg (94).jpg,3,6,people_2-3__evidence_5-9,20260812
R061,1,9_tunnel,9_tunnel (147).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\9_tunnel (147).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R061_9_tunnel (147).jpg,6,10,people_4+__evidence_10+,20260812
R062,1,9_tunnel,9_tunnel (175).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\9_tunnel (175).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R062_9_tunnel (175).jpg,1,2,people_single__evidence_1-4,20260812
R063,1,9_tunnel,9_tunnel (509).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\9_tunnel (509).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R063_9_tunnel (509).jpg,4,4,people_4+__evidence_1-4,20260812
R064,1,9_tunnel,9_tunnel (514).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\9_tunnel (514).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R064_9_tunnel (514).jpg,3,5,people_2-3__evidence_5-9,20260812
R065,1,9_tunnel,9_tunnel (856).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\9_tunnel (856).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R065_9_tunnel (856).jpg,2,4,people_2-3__evidence_1-4,20260812
R066,1,9_tunnel,9_tunnel (887).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\9_tunnel (887).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R066_9_tunnel (887).jpg,4,8,people_4+__evidence_5-9,20260812
