audit_id,fold,source_group,image_name,original_image,rendered_image,person_count,evidence_count,max_person_iou,ambiguous_evidence_count,median_person_height,median_person_area_fraction,selection_score
A011,1,1_tunnel,1_tunnel (132).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\1_tunnel (132).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A011_1_tunnel (132).jpg,6,8,0.01518771331058021,3,96.49999999999996,0.0036827256944444316,45.07596567477245
A012,1,1_tunnel,1_tunnel (147).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\1_tunnel (147).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A012_1_tunnel (147).jpg,3,7,0.06211180124223555,2,111.99999999999989,0.01045138888888888,42.14820134575567
A013,1,1_tunnel,1_tunnel (162).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\1_tunnel (162).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A013_1_tunnel (162).jpg,7,13,0.0135900339750848,2,144.99999999999994,0.007394748263888903,39.3780227355842
A014,1,2_tunnel,2_tunnel (46).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\2_tunnel (46).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A014_2_tunnel (46).jpg,4,7,0.26493458969902084,7,194.5,0.013613281250000001,108.9993458969902
A015,1,2_tunnel,2_tunnel (36).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\2_tunnel (36).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A015_2_tunnel (36).jpg,5,10,0.09797781257287543,4,189.0,0.01453125,71.97977812572876
A016,1,2_tunnel,2_tunnel (48).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\2_tunnel (48).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A016_2_tunnel (48).jpg,5,9,0.11250744096831886,4,148.0,0.01050347222222222,67.83028274301653
A017,1,2_tunnel,2_tunnel (60).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\2_tunnel (60).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A017_2_tunnel (60).jpg,2,4,0.17184432382492248,4,157.50000000000003,0.011010199652777764,67.43374271741587
A018,2,3_tunnel,3_tunnel (220).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\3_tunnel (220).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A018_3_tunnel (220).jpg,6,12,0.17139090309822147,7,277.0,0.011076388888888901,105.92849236431556
A019,2,3_tunnel,3_tunnel (221).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\3_tunnel (221).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A019_3_tunnel (221).jpg,6,11,0.25778210116731537,7,215.5,0.00935209297839508,104.15596047926577
A020,2,3_tunnel,3_tunnel (24).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\3_tunnel (24).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A020_3_tunnel (24).jpg,8,14,0.1274217585692998,7,162.49999999999994,0.005343123070987659,97.98890219217448
A021,2,3_tunnel,3_tunnel (33).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\3_tunnel (33).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A021_3_tunnel (33).jpg,8,16,0.0834386852085956,6,182.5,0.007079234182098761,88.25323812523409
A022,2,4_tunnel,4_tunnel (6).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\4_tunnel (6).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A022_4_tunnel (6).jpg,5,9,0.1267418292373957,5,188.0,0.010811631944444445,80.43486620904062
A023,2,4_tunnel,4_tunnel (250).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\4_tunnel (250).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A023_4_tunnel (250).jpg,2,4,0.42792217014628675,4,172.0,0.016363932291666647,73.47922170146286
A024,2,4_tunnel,4_tunnel (63).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\4_tunnel (63).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A024_4_tunnel (63).jpg,4,7,0.12752815792660815,5,119.99999999999997,0.0030131172839506135,68.144957505192
A025,2,4_tunnel,4_tunnel (208).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\4_tunnel (208).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A025_4_tunnel (208).jpg,5,7,0.049132658177078244,5,108.0,0.0031640624999999733,68.08742033177074
A026,0,5_tunnel,5_tunnel  (17).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\5_tunnel  (17).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A026_5_tunnel  (17).jpg,5,8,0.09327645865648458,4,166.0,0.006228298611111115,61.17521250323151
A027,0,5_tunnel,5_tunnel  (12).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\5_tunnel  (12).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A027_5_tunnel  (12).jpg,3,6,0.15161290322580653,3,218.0000000000001,0.013246527777777784,59.18592069892473
A028,0,5_tunnel,5_tunnel  (122).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\5_tunnel  (122).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A028_5_tunnel  (122).jpg,2,4,0.1508450704225353,3,171.50000000000003,0.013299153645833325,58.65718117297534
A029,0,5_tunnel,5_tunnel  (60).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\5_tunnel  (60).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A029_5_tunnel  (60).jpg,3,6,0.04191773644223208,4,83.99999999999994,0.002174961419753091,53.48161949405195
A030,0,6_tunnel,6_tunnel  (91).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\6_tunnel  (91).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A030_6_tunnel  (91).jpg,8,18,0.08460104623895216,9,179.4999999999999,0.007649980709876554,125.22098152720434
A031,0,6_tunnel,6_tunnel  (94).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\6_tunnel  (94).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A031_6_tunnel  (94).jpg,4,10,0.1116554103017479,7,237.49999999999994,0.009519193672839505,101.89534461227673
A032,0,6_tunnel,6_tunnel  (92).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\6_tunnel  (92).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A032_6_tunnel  (92).jpg,7,14,0.1420935679538767,4,234.0000000000001,0.008877314814814794,66.93690790176096
A033,0,6_tunnel,6_tunnel  (93).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\6_tunnel  (93).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A033_6_tunnel  (93).jpg,5,11,0.10228573297145388,3,250.9999999999999,0.009320505401234568,54.053615431566385
A034,2,7_tunnel,7_tunnel (607).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\7_tunnel (607).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A034_7_tunnel (607).jpg,8,13,0.10076991567590217,6,124.50000000000011,0.003975453317901234,83.62087913361087
A035,2,7_tunnel,7_tunnel (284).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\7_tunnel (284).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A035_7_tunnel (284).jpg,3,6,0.08217801294747064,5,334.0000000000001,0.019167631172839532,82.6217801294747
A036,2,7_tunnel,7_tunnel (275).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\7_tunnel (275).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A036_7_tunnel (275).jpg,3,7,0.07516163793103385,5,331.9999999999999,0.01433979552469134,82.60161637931034
A037,2,7_tunnel,7_tunnel (266).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\7_tunnel (266).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A037_7_tunnel (266).jpg,4,7,0.10196695515342259,5,251.0,0.010320698302469148,78.85071700523794
A038,0,8_tunnel,8_tunnel.jpg (105).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\8_tunnel.jpg (105).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A038_8_tunnel.jpg (105).jpg,3,6,0.1314039890496661,6,209.0,0.006853780864197519,85.39471118679293
A039,0,8_tunnel,8_tunnel.jpg (102).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\8_tunnel.jpg (102).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A039_8_tunnel.jpg (102).jpg,3,6,0.19411691696661293,4,261.0,0.010572916666666666,67.60054416966612
A040,0,8_tunnel,8_tunnel.jpg (103).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\8_tunnel.jpg (103).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A040_8_tunnel.jpg (103).jpg,3,6,0.3152424942263266,4,240.0000000000001,0.00868055555555556,65.9732582755966
A041,0,8_tunnel,8_tunnel.jpg (101).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\8_tunnel.jpg (101).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A041_8_tunnel.jpg (101).jpg,3,6,0.05358842997687812,4,265.9999999999999,0.010134066358024689,65.53698383680582
A042,1,9_tunnel,9_tunnel (557).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\9_tunnel (557).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A042_9_tunnel (557).jpg,6,12,0.17635567774843505,9,171.0,0.009221643518518525,127.19602205526213
A043,1,9_tunnel,9_tunnel (552).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\9_tunnel (552).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A043_9_tunnel (552).jpg,6,11,0.15420010307001375,8,198.9999999999999,0.011375144675925927,118.15471804458902
A044,1,9_tunnel,9_tunnel (556).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\9_tunnel (556).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A044_9_tunnel (556).jpg,6,12,0.19493329548680116,8,168.5,0.008697916666666661,114.59620795486799
A045,1,9_tunnel,9_tunnel (676).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\9_tunnel (676).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A045_9_tunnel (676).jpg,6,12,0.2961111378166606,8,130.0,0.005246913580246914,110.43148174853697
A046,1,9_tunnel,9_tunnel (886).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\9_tunnel (886).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A046_9_tunnel (886).jpg,7,13,0.16032887975334084,8,167.0000000000001,0.004882812499999996,109.07750754753341
A047,1,9_tunnel,9_tunnel (549).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\9_tunnel (549).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A047_9_tunnel (549).jpg,6,11,0.1397883623744486,7,198.5,0.011245900848765453,105.81673489689267
A048,1,9_tunnel,9_tunnel (752).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\9_tunnel (752).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A048_9_tunnel (752).jpg,5,10,0.23390306719737772,7,189.0000000000001,0.008362268518518496,101.88243344975152
A049,1,9_tunnel,9_tunnel (553).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\9_tunnel (553).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A049_9_tunnel (553).jpg,6,11,0.2330168603699462,6,264.99999999999994,0.013729745370370382,97.88016860369946
A050,1,9_tunnel,9_tunnel (969).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\9_tunnel (969).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A050_9_tunnel (969).jpg,8,15,0.10774115843644046,7,169.5,0.005177951388888871,97.5943386676977
A051,1,9_tunnel,9_tunnel (1007).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\9_tunnel (1007).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A051_9_tunnel (1007).jpg,6,11,0.12036482564834856,7,177.50000000000006,0.005174816743827167,96.51587337222423
A052,1,9_tunnel,9_tunnel (899).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\9_tunnel (899).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A052_9_tunnel (899).jpg,6,12,0.12936491003484832,7,136.0,0.004405864197530874,95.50244539664479
A053,1,9_tunnel,9_tunnel (1004).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\9_tunnel (1004).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A053_9_tunnel (1004).jpg,6,12,0.4465053155394704,6,193.99999999999994,0.010177951388888877,95.33198023872801
A054,1,9_tunnel,9_tunnel (562).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\9_tunnel (562).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A054_9_tunnel (562).jpg,4,8,0.254626839975898,6,236.49999999999994,0.010543258101851864,92.76115555253679
A055,1,9_tunnel,9_tunnel (554).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\9_tunnel (554).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A055_9_tunnel (554).jpg,6,12,0.19894921190893217,6,194.0,0.010083912037037037,92.71536017464487
A056,1,9_tunnel,9_tunnel (558).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\9_tunnel (558).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A056_9_tunnel (558).jpg,5,11,0.17254901960784358,6,180.0,0.009114583333333324,90.44736519607842
A057,1,9_tunnel,9_tunnel (555).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\9_tunnel (555).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A057_9_tunnel (555).jpg,6,10,0.18125916127417632,6,166.49999999999994,0.008377700617283932,89.87914253866767
A058,1,9_tunnel,9_tunnel (464).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\9_tunnel (464).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A058_9_tunnel (464).jpg,5,8,0.11411159442690263,6,212.0000000000001,0.00919897762345681,89.83958237945426
A059,1,9_tunnel,9_tunnel (679).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\9_tunnel (679).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A059_9_tunnel (679).jpg,6,11,0.22124658125809687,6,204.99999999999994,0.006349826388888886,87.2872053959143
A060,1,9_tunnel,9_tunnel (953).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\9_tunnel (953).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A060_9_tunnel (953).jpg,6,11,0.14229152707559217,6,147.5000000000001,0.006495466820987644,86.71611550223739
